,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
1,5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7SK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217.1,0,0,1,1,0,0,0,63.74,0,0,34.68,1,0.66,0,0
4,A1BG,210.33,97.94,117.72,102.05,146.96,53.46,93.16,102.06,138.84,122.3,145.54,67.68,46.24,78.4,78.11,86.9,2784.58,845.88,578.12,1385.87,338.7,225.45,383.76,234.83,431.41,349.66,427.44,415.91,583.94,614.75,658.28,461.6
5,A1BG-AS1,594,256.89,215.61,260.92,301.75,171.04,176.46,199.85,252.96,255.22,230.13,231.91,243.09,259.08,191.62,330.68,2585.25,684.86,569.1,1403.96,470.86,500.37,430.35,393.01,413.36,415.32,472.91,700.66,689.82,915.91,713.68,454.05
6,A1CF,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,A2M,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5.53,1,0,0.36,2.87,0,0,2,0,2.6,0,2,0.64,0,0
8,A2M-AS1,0,1,4,1,3,1,2,2,3,6,6,0,3,4,4,1,17,2.47,4,15,3.64,7.13,5,1,8,1,4.4,2,24,2.36,5,2
9,A2ML1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,A2MP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1.03,0,0,0,1.01,4.06,1.02,2.01
13,A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,A4GALT,0,3,7,0,0,24,7,2,0,13,3,0,5,9,7,10,42,9,5,10,5,10,3,5,6,21,3,90,1,9,14,4
15,A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AAAS,1493,715,632,584,843,836,734,706,656,934,765,448,709,670,582,906,9621,3049,2698,7291,2457,2734,2228,2161,2246,2793,2554,2431,1632,2249,2272,2476
18,AACS,2494,917,981,1139,1408,800,1134,1243,1154,1126,1176,943,1468,1249,1204,2013,13710,4683,3860,10720,4216,4384,3570,3505,3695,4378,4003,5010,2963,5316,5179,4010
19,AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0
27,AAED1,605,262,231,237,326,299,255,246,220,224,224,157,355,231,251,373,3436,1290,1238,3094,692,694,749,634,930,1028,1032,1266,698,1007,1107,760
28,AAGAB,2055,1055,706,895,1005,1215,907,740,849,1386,898,677,909,860,630,1131,9519,2715,2066,6224,2656,2419,1764,2623,2393,3110,2438,3690,1134,2052,2164,2072
29,AAK1,5546,2791,2300,2630,3255,1685,2034,2432,2335,2604,2459,1991,2129,2760,2167,3152,17593,13045,6615,19905,9247,7407,8689,7274,8522,6687,8468.96,9629,12909,18557,14994,11310
30,AAMDC,63.17,11,20.14,21,41,11,23.09,20.09,34,17,22,20.11,22,22,23,25,1049.56,354.68,278.11,899.16,169.12,274.36,212.57,171,244,273.27,270.37,223,127.27,179.43,242.45,248.32
31,AAMP,2790,1210,997,1110,1465,1273,1082,1117,1183,1346,1212,863,1388,1079,1027,1685,17108,5361,4465,11703,4042,4054,3571,3386,3656,4125,3898,4363,3373,4238,4533,3898
32,AANAT,5,2,0,1,0,1,1,0,1,0,1,1,3,5,1,3,11,1,2,4,0,1,5,5,3,1,1,4,3,4,3,6
33,AAR2,1867,759,718,734,901,846,637,695,714,922,643,475,816,782,575,1141,7428,2592,2002,5364,2059,1931,1885,1803,1777,1847,2014,1983,1724,1957,2031,2114
34,AARD,49,50,22,23,40,103,50,31,4,50,24,6,47,11,18,26,151,94,70,281,45,62,50,89,178,291,152,124,14,93,113,70
35,AARS,5406,2885,2289,1952,4141,3578,2834,3216,2242,3246,2793,1511,2422,2427,2145,2817,30740,9549,10186,25962,7843,7248,6102,6232,6539,8722,7586,11900,3923,7223,9440,6753
36,AARS2,1028.97,500.98,464,445,531.99,558,479,470,490,697.99,515,355.99,516,412.97,355,608,3055.89,1442.98,1176,3342.96,850,1171.98,892.98,881.99,1018.98,1354.98,1200,981.96,667.97,788.92,1034,1017.99
37,AARSD1,222.95,117.46,82.37,61.77,81.43,192.42,122.3,59.96,120,138.38,96.81,71.85,123.68,98.25,74.25,127.24,2979.84,687.69,523.34,1478.87,720.41,690.66,507.3,553.61,500.92,627.63,606,538.47,547.92,493.34,474.63,559.46
38,AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,AASDH,704,282,252,304,422,221,267,298,297,241,295,228,301,265,237,451,2738,1243,905,2565,853,767,748,754,868,942,932,691,788,975,945,959
40,AASDHPPT,2273.73,851.99,828.99,920.96,1173.87,916,825.96,956.74,1095.88,1003.95,956,699.99,1065.98,807,809.87,1311.98,7945.64,3969.39,2920,7800.88,3043.83,2729,2638.76,2481.89,2718,2747.9,2959.62,2850.7,2672.83,2991.63,3120.48,3022.9
41,AASS,46,47,25,33,40,17,24,31,18,60,26,10,22,28,13,13,300,117,111,349,108,133,75,45,43,52,37,101,77,56,86,85
42,AATBC,22,3,7,11,16,6,7,23,15,18,5,14,27,24,11,16,74,18,14,22,28,26,17,13,10,15,16,17,29,80,71,21
43,AATF,3504,1520,1232,1363,1870,1795,1260,1365,1534,1831,1440,1067,1514,1259,1135,1888,14793,5811,4312,11333,4052,4055,3787,3575,4132,4371,4274,3705,3497,4258,4455,4380
44,AATK,3,3,0,0,0,7,2,2,0,18,0,0,4,14,1,2,50,9,6,31,9,6,4,9,3,6,3,27,5,2,5,3
45,AATK-AS1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
46,AB015752.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0
47,ABALON,51.56,17.25,14.49,12.98,21.56,7.64,20.07,11.66,16.49,9.39,17.52,7.75,20.29,23.82,16.51,18.98,85.78,30.77,27.69,124.48,38.77,19.9,24.97,32.85,34.89,52.73,66.42,68,36.55,49.47,52.95,32.63
48,ABAT,526,355,172,200,210,171,149,150,131.15,263.49,153,110,175,257,134,232,1900,614,386,1193,737.87,492,442,618.05,377,455,455.95,804,700,626.98,513,570
49,ABBA01000935.2,0.08,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,3.48,0,0,0,1.15,0,2.22,0,1.1,0,0,1.42,0,0,3.41,0
50,ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ABBA01006766.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,ABBA01031660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,ABBA01031661.1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0
54,ABBA01031663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
55,ABBA01031674.1,11.1,2.49,1.02,7.36,6.01,2,3,3,4,1,1,2,6,5,11,8.01,14,8,1,13.89,3,7,13.51,3,18.41,11,11,6,13,14.83,5.23,8.15
56,ABBA01040607.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ABCA1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,8,0,9,29,1,1,1,0,6,3,6,13,2,5,8,1
58,ABCA10,70,14,19,28,24,6,26,27,24,10,33,31,31,16,26,47.4,185.06,118,100,232,84,82,78,103,151.2,137,154,47,100,106,133,120
59,ABCA11P,38.13,28.88,27.69,33.55,29.87,15.2,24.37,23.72,15.95,20.23,15.65,14.05,22.67,30.59,24.32,25.43,435.43,190.54,122.39,378.16,189.12,186.21,168.53,188.31,193.12,165.55,190.26,189.83,123.24,212.87,177.9,184.37
60,ABCA12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,2,0,1,0,5,0,1,2,0
61,ABCA13,1,0,0,1,3,1,2,6,0,0,1,0,1,0,0,1,1,8,5,5,1,0,0,0,0,0,0,3,2,8,6,0
62,ABCA17P,5,3,2,6,6,3,2,6,10,3,4,4,4,1,6,8,33,9,12,21,8,9,3,13,17,9,10,15,7,8,19,5
63,ABCA2,5918,3331,2452,2604,4337,2818,2917,3420,2849,4454,2973,2381,3130,4726,3060,4825,16354,5981,4051,10422,7913,5659,5196,7127,5977,5301,6281,8236,6865,6666,6438,6283
64,ABCA3,658,206,302,332,493,203,324,417,198,244,328,213,402,232,343,573,2443,848,742,1811,357,481,427,590,740,744,729,1452,1098,1228,1019,471
65,ABCA4,0,2,1,0,0,0,2,2,0,0,0,0,1,0,0,1,7,0,10,8,3,3,0,0,3,2,1,16,0,0,0,0
66,ABCA5,1094,331,411,498,659,248,362,568,495,340,448,441,509,410,495,713.6,4051.94,2469,2121,5065,1503,1519,1765,1590,2066.8,1849,2321,1291,1598,1593,1847,2167
67,ABCA6,7,4,8,6,12,4,5,2,8,15,6,1,9,4,3,10,41,15,26,61,7,20,17,32,32,28,48,14,10,17,15,23
68,ABCA7,4471,1839,1609,2215,2282,1151,1145,2111,2255,2721,2163,2111,2405,3728,2104,3572,27360,7989,2964,11542,10292,4614,6533,6308,4885,3208,4812,10744,10526,16560,11980,8220
69,ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
70,ABCA9,7,2,8,2,2,5,4,3,0,1,2,4,3,4,2,2,20,7,26,40,5,13,7,32,34,37,32,8,12,16,10,11
71,ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72,ABCB1,225,145,76,66,140,108,93,103,54,192,70,47,67,86,53,63,960,292,292,870.97,307,236,159,232,219,275,180,975,839,562,454,229
73,ABCB10,1774,750,652,806,1170,746,876,918,878,928,998,704,1008,780,834,1256,7445,3904,2852,8409,2843,2481,2459,2119,2578,2605,2683,2882,2528,3346,3034,2817
74,ABCB10P1,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
75,ABCB10P3,0.99,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
76,ABCB10P4,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,ABCB4,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,7,2,5,4.03,2,6,1,2,2,7,2,6,3,1,4,1
79,ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ABCB6,311.72,56.93,116.71,200.48,201.98,39.37,98.45,132.27,115.77,46.94,80,107.17,157.65,29.22,63.58,160.31,2584.9,1655.11,1535.37,4115.54,569.38,1065.61,949.16,559.02,1186.71,1451.29,1320.15,1009.17,1122.83,1716.69,1802.29,940.05
81,ABCB7,1217,387,401,463,801,374,405,546,545,472,522,463,504,384,413,660,5952,3959,2169,6623,2189,1755,2492,1708,2317,1874,2371,1631,2253,2586,2825,2927
82,ABCB8,1397.71,678.89,503.82,620.59,657.7,504,410.83,554,581.65,731.9,502,502,702,658,506.78,779.93,7236.23,2193.7,1329.7,4297.84,2197.77,1865.89,1662.37,2240.38,1945,1934.31,2055.55,2078.21,1270.94,1595.78,1863.74,1739.45
83,ABCB9,723.71,242.88,288.22,281.17,321.47,199.45,275.16,287.87,283.97,317.03,305.37,266.96,277.38,247.71,233.85,431.91,441.41,140.13,182.89,429.03,90.62,124.31,122,97.71,121.73,103.96,92.05,122.33,90.09,131.51,132.95,134.38
84,ABCC1,8869,4215,3684,3585,4722,3744,3855,4065,4302,4798,4542,3665,4189,4598,3619,5487,33751,15595,14398,32557,13174,12407,10819,10275,11171,11261,12049,15876,11958,18453,18477,12934
85,ABCC10,1987,969,669,893,855,653,569,661,883,988,679,647,1057,1067,693,1310,9050,3017,1899,5709,3276,2575,2449,2852,2353,2083,2638,2518,2742,2565,2568,2777
86,ABCC11,6,0,4,0,2,5,0,2,1,1,4,0,2,1,2,1,22.99,11.81,7.43,14.94,10.79,6.57,4.36,4.31,7.47,8.79,11.1,3.2,8.39,6.45,18.03,11.65
87,ABCC12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ABCC2,150,42,54,77,60,16,34,59,41,30,39,52,68,67,61,113,562,290,197,397,188,125,230,86,112,66,126,162,245,401,259,268
90,ABCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0
91,ABCC4,384,167,137,154,210,283,175,153,188,263,154,124,170,178,135,260,1442,622,590,1390,467,448,306,413,441,509,428,794,697,745,731,372
92,ABCC5,2399,1007,812,1051,1185,653,699,920,865,998,871,862,923,1203,780,1356,8584,3188,2091,6109,3422,1986,2312,3070,2653,2093,2743,3001,3557,3489,3486,2684
93,ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,ABCC6,13,5,3,2,5,5,2,5,5,7,11,5,0,8,8,8,173,17,26,44,13,13,17,16,12,18,14,25.68,26,31,29,24.92
95,ABCC6P1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3.32,0,5,0,1.08
96,ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,ABCC8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
98,ABCC9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,3,1,0,0,2,0,2,1,1,2,4,0
99,ABCD1,599,263,275,255,331,251,258,296,236,298,243,210,354,296,267,473,2900,1150,851,2110,743,703,709,579,700,609,761,979,914,1092,1097,889
100,ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,ABCD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,ABCD2,3017,920,983,1173,1815,637,947,1422,1255,1063,1290,1114,1043,1124,935,1317,9293,6595,3792,12072,5315,3718,4772,2825,3119,2663,3483,4596,4220,5925,5701,5756
105,ABCD3,1513,645,516,655,868,649,611,678,662,818,675,529,785,618,563,986,5999,3062,2176,6083,2298,2235,1941,2334,2428,2488,2582,2111,1675,2253,2273,2142
106,ABCD4,1241,395,526,560,735,333,390,549,604,501,528,491,599,396,433,732,9123.48,3403.63,2536.26,6913.64,2284.42,2426.05,2341.58,2325.57,2745.42,2605.58,3062.64,2184.28,2783.65,3332.73,3273.8,2585.73
107,ABCE1,4187.28,1750.99,1478.35,1743.7,2015.71,2324.61,1710.84,1601.33,2223.12,2448.07,1827.88,1401.15,1958.67,1629.21,1473.95,2401.2,16146.8,6542.96,6012.9,15104.58,5621.94,6257.78,4736.53,4954.88,4770.85,5569.86,5305.89,5707.64,3945.98,5318.75,5577.63,5153.52
108,ABCF1,4911,2705,1857,2036,2342,2931,2420,2013,2160,3227,2136,1663,2407,2527,1893,3126,21464,6887,5127,14218,6145,5910,4933,5512,5065,6340,5721,7621,4828,6812,6647,5720
109,ABCF2,2067,1307,773,761,778,1721,837,623,895,1596,872,587,961,1005,686,1200,9262,2386,1848,5034,2872,2547,1837,2630,1843,2349,2079,2925,1837,2124,1870,2233
110,ABCF2P1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,0,1,0,0
111,ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,ABCF3,1793,683,666,748,902,704,757,727,840,979,844,678,878,684,660,1134,7810,2550,2030,5383,2263,2332,1944,1987,2068,2048,2382,2196,2030,2401,2216,2157
113,ABCG1,7,11,10,3,29,15,20,11,3,16,3,1,3,12,8,2,235,92,78,252,9,25,11,6,29,39,32,326,39,70,110,17
114,ABCG2,355,158,236,127,103,93,78,93,78,90,123,50,22,12,26,37,393,209,204,592,65,154,109,72,119,208,152,39,82,64,93,108
115,ABCG4,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,7,2,3,3,0,4,1,1,1,0,0,7,2,5,4,0
116,ABCG5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,ABCG8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
118,ABHD1,3,0,1,0,2,0,4,1,2,0,5,1,4,4,0,5,93,14,37,52,21,26,17,9,12,20,23,17,23,18,27,23
119,ABHD10,1039,484,446,466,728,502,488,515,507,594,596,340,573,419,468,645,5066,2300,1989,5529,1499,1830,1659,1129,1550,1808,1735,1520,1318,1678,1921,1852
120,ABHD11,154,114,101,73,88,133,102,63,93,142,92,56,92,78,84,129,943,281,265,698,239,277,197,220,214,310,210,255,140,149,219,202
121,ABHD11-AS1,8,4,6,3,5,4,12,8,7,6,9,2,11,11,17,14,135,12,25,51,24,25,33,8,11,13,9,27,26,14,33,43
122,ABHD12,929,449,383,447,545,353,359,430,467,561,506,382,569,486,442,682,6610,2219,1688,4716,1358,1284,1273,1397,1789,1996,1818,1734,1009,1180,1419,1309
123,ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
124,ABHD13,1780,634,612,767,847,439,517,707,842,756,696,548,822,709,596,919,6724,3255,2004,5570,2404,1994,1914,2047,1914,1803,2150,2386,2391,3290,2816,2337
125,ABHD14A,373.09,120.31,140.23,175.58,162.8,103.52,124.71,154.31,133.9,126.94,137.92,101.3,183.3,121.72,134.6,259.91,1903.38,556.38,394.92,1056.58,402.54,354.67,340.05,320.85,343.5,403.09,355.7,319.17,370.29,391.17,337.06,404.1
126,ABHD14A-ACY1,198.64,81.17,89.87,108.34,103.71,86.69,60.38,76.75,137.92,74.22,67.5,66.03,102.26,89.41,76.35,117.21,437.65,34.67,36.12,131.92,87.76,92.99,73.42,39.92,71.7,50.54,79.02,58.08,54.7,52.61,105.87,53.84
127,ABHD14B,2334.33,760.42,852.13,1067.09,1131.69,615.22,618.42,996.67,1026.91,828.2,977.33,790.55,982.48,920.9,911.76,1399.71,18039.68,6807,4393,10936.67,4867.77,3648,4467,3537,4305,3307,4027,3110,4959,5822,5233,5350
128,ABHD15,2556.73,960.25,1074.04,1334.93,1509.64,769.44,992.58,1241.18,1141.42,1039.5,1273.83,930.48,1247.14,759.24,966.43,1785.01,7063.49,3226.23,2090.78,6174.93,2218.37,2253.45,2321.76,2016.86,2425.51,2348.3,2466.69,2363.92,2803.69,3568.57,3292.26,2525.25
129,ABHD15-AS1,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,1.98,0,0,0.57,0
130,ABHD16A,338.19,142.73,105.98,127.94,139.26,116.46,100.78,122.79,150.51,190.82,122.96,140.04,211.13,114.3,126.93,215.41,6001.15,1990,1670,4604.41,1672,1785,1533,1528,1668,2043,1806,2000,1303,1597,1772,1730
131,ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,ABHD17A,5570.4,2789.86,2208.81,2395.41,2987.42,2053.09,2057.49,2427.64,2577.22,3366.9,2566.5,2085.99,2947.3,2744.02,2332.28,3784.1,54959.44,15065.95,10576.01,29943.57,13578.5,10228.74,11304.53,11993.42,11380.25,10048.57,11672.55,12936.07,12200.57,16225.39,14997.6,12004.46
133,ABHD17AP1,57.98,25.65,22.69,11.3,15.45,16.74,9.38,18.35,14.56,21.58,17.39,13.34,23.91,22.34,13.49,26.9,42.52,11.4,10.67,23.1,11.8,5.6,5.33,13.51,11.3,6.1,5.79,6.89,11.87,8.98,12.59,11.57
134,ABHD17AP3,14,1.38,1.11,1.25,2.39,4.19,1.27,4.07,4.59,1.14,3.21,0,4.1,4.19,2.71,4.38,15.31,2.01,3.39,7.44,1.57,3.59,7.91,8.81,5.03,2.01,7.03,2.01,0,3.02,8.58,1.66
135,ABHD17AP4,109.05,50.58,46.48,32.56,53.51,46.63,56.71,37.69,52.07,72.26,58.92,39.51,65.35,58.88,45.48,67.22,2.87,0,0,1.38,1.08,0,0,0,1.22,1.08,3.25,0,0,1.36,1.29,2.92
136,ABHD17AP5,13.61,8.5,13.85,12.49,9.11,10.33,8.15,3.25,2.42,19.92,5.89,3.15,8.14,9.5,1.7,8.27,9.79,5.58,13.11,23.02,1.01,0,1.21,7.14,9.02,11.04,5.05,6.06,0.54,4.17,5.91,1.33
137,ABHD17AP6,4.97,1.03,2.06,0,3.12,1.03,0,0,4.14,6.21,3.09,1.02,5.2,2.08,9.34,4.13,3.08,3.06,3.81,15.48,1.02,4.07,1.02,5.12,11.19,12.2,10.33,1.97,2.02,3.07,2.04,1.06
138,ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,ABHD17B,1231,595,503,525,699,516,526,531,560,818,625,402,573,610,511,732,6256,2666,1695,5258,2055,1679,1773,1700,1845,1815,2030,2305,2275,2721,2741,2234
142,ABHD17C,184,95,88,75,131,106,91,87,69,89,92,45,77,68,68,85,1822,522,389,1350,273,318,257,286,355,372,389,357,117,111,148,247
143,ABHD18,1262.03,458.73,442.07,626.4,723.94,368.79,447.71,563.25,615.75,496.42,544.81,515.07,626.75,516.62,493.33,760.45,5277.45,2371.19,1958.22,4772.9,2056.87,1765.81,1770.64,1549.94,1752.71,1532.92,1873.65,1511,1839.34,2165.65,2143.5,2244.59
144,ABHD2,4962.9,2293.81,1750.1,2204.78,2916.04,1960.94,1961.16,2257.04,2394.11,2799.02,2233.02,1674.11,2527.31,1813.86,1743.28,3136,11638.96,6504.29,5839.19,14218.67,4900.53,5923.11,4409.3,4519.4,5154.44,6180.6,5319.44,6054.03,2604.31,3739.96,4610.52,5206.75
145,ABHD3,2436,921,781,1066,1270,822,753,904,1070,1018,872,877,1215,752,757,1439,9749,3942,3187,9000,3164,3199,2556,3397,3275,3741,3742,3943,2069,2851,3106,2993
146,ABHD4,1234,343,349,523,755.99,222,349,625,489,380,478,392,579,375,459,838,6837,3174.73,2298,6298,1780,1398,1963,1635,2250,1826,2236,2299,2174,2800,2791.45,2253
147,ABHD5,147,82,54,56,110,119,77,80,36,103,43,34,75,55,47,76,1659,598,538,1739,497,355,425,466,452,497,441,764,394,477,548,427
148,ABHD6,379,135,109,157,143,85,98,109,111,129,114,97,133,106,89,161,1578,610,323,1134,432,272,353,474,390,418,442,638,520,663,585,384
149,ABHD8,829.87,314.09,419.89,387.58,546.84,253.32,414.51,438.05,344.64,357.68,504.48,266.06,344.16,298.61,337.6,480.57,4213.36,1762.49,1175,3534.73,892.73,820.29,1075,780,1227,1027.48,1064.19,1368.8,1077.86,1799.46,1685.89,1287.85
