,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
16215,AL353771.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16216,AL353777.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16217,AL353778.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16218,AL353779.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16219,AL353779.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16220,AL353780.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16221,AL353784.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16222,AL353795.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1
16223,AL353795.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
16224,AL353795.3,5.72,7.44,1.4,7.03,1.29,5.28,2,2.88,1.15,5.5,2,0,2,5.38,1.57,5,40.32,5.24,9.64,6.02,9.2,13.19,7.01,10.05,7.66,9.74,10.11,19,6.41,20.57,10.18,11.61
